stage,stage_position,repetition,gain_db,noise_power_db,oai_rng_seed
gain_safety,1,1,-8,-60,44001
gain_safety,2,1,-12,-60,44002
gain_safety,3,1,-16,-60,44003
gain_safety,4,1,-18,-60,44004
noise_safety,1,1,0,-18,44005
noise_safety,2,1,0,-17,44006
factorial,1,1,-8,-25,44007
factorial,2,1,-12,-22,44008
factorial,3,1,-10,-22,44009
factorial,4,1,-12,-25,44010
factorial,5,1,-8,-22,44011
factorial,6,1,-12,-28,44012
factorial,7,1,-10,-25,44013
factorial,8,1,-10,-28,44014
factorial,9,1,-8,-28,44015
factorial,1,2,-10,-25,44016
factorial,2,2,-10,-22,44017
factorial,3,2,-8,-25,44018
factorial,4,2,-8,-28,44019
factorial,5,2,-12,-25,44020
factorial,6,2,-12,-28,44021
factorial,7,2,-12,-22,44022
factorial,8,2,-10,-28,44023
factorial,9,2,-8,-22,44024
factorial,1,3,-12,-28,44025
factorial,2,3,-10,-28,44026
factorial,3,3,-10,-22,44027
factorial,4,3,-8,-25,44028
factorial,5,3,-10,-25,44029
factorial,6,3,-12,-22,44030
factorial,7,3,-8,-22,44031
factorial,8,3,-8,-28,44032
factorial,9,3,-12,-25,44033
boundary,1,1,-16,-30,44034
boundary,2,1,0,-17,44035
boundary,3,1,-18,-35,44036
boundary,4,1,-4,-23,44037
boundary,1,2,-18,-35,44038
boundary,2,2,-4,-23,44039
boundary,3,2,-16,-30,44040
boundary,4,2,0,-17,44041
boundary,1,3,-16,-30,44042
boundary,2,3,-4,-23,44043
boundary,3,3,-18,-35,44044
boundary,4,3,0,-17,44045
